utc,phase_angle_deg,illumination_pct
2048-01-30T05:50:00Z,170.958,99.38
2003-10-01T04:00:08Z,68.661,31.81
2003-03-27T16:57:46Z,302.064,23.46
2000-10-02T07:39:14Z,55.19,21.46
2004-10-12T17:05:04Z,342.27,2.37
2036-07-13T14:13:11Z,235.738,78.15
2048-11-18T02:26:14Z,153.341,94.68
2008-07-25T14:38:46Z,267.806,51.91
2039-12-23T17:53:08Z,105.623,63.47
2011-07-09T05:23:51Z,102.642,60.94
2036-02-16T19:28:48Z,244.435,71.58
2004-08-30T12:25:53Z,185.544,99.77
2032-03-27T21:45:25Z,190.051,99.23
2040-06-05T00:21:38Z,306.012,20.6
2018-10-01T14:24:37Z,259.566,59.06
2040-07-15T14:49:48Z,69.103,32.17
2000-09-29T19:51:41Z,25.477,4.86
2006-10-31T03:49:33Z,106.314,64.04
2017-03-22T11:07:51Z,290.041,32.87
2029-02-24T15:38:03Z,125.684,79.17
2002-02-18T11:32:41Z,67.175,30.6
2013-05-13T17:48:24Z,40.752,12.12
2029-10-15T13:55:16Z,103.457,61.64
2044-04-21T04:26:37Z,277.722,43.28
2022-06-02T00:36:34Z,27.767,5.76
2029-09-05T08:55:15Z,319.182,12.16
2030-06-26T07:22:45Z,309.925,17.91
2009-03-08T05:03:54Z,141.622,89.2
2049-12-03T22:25:14Z,115.069,71.19
2044-11-08T15:14:32Z,222.287,86.99
2022-12-14T12:18:02Z,249.296,67.68
2038-11-15T01:57:46Z,214.255,91.33
2047-05-21T18:00:30Z,325.992,8.55
2036-05-12T18:07:15Z,208.347,94.0
2024-03-16T21:19:59Z,86.597,47.03
2049-12-27T10:12:48Z,37.294,10.22
2009-09-28T04:03:20Z,111.356,68.21
2019-04-18T01:59:55Z,161.197,97.33
2031-10-26T05:31:02Z,128.303,80.99
2042-12-18T13:44:34Z,71.593,34.21
2038-12-17T02:28:14Z,241.586,73.79
2013-07-20T03:45:57Z,143.097,89.98
2008-05-07T02:51:01Z,22.946,3.96
2018-12-11T04:19:39Z,43.249,13.58
2034-11-27T10:52:20Z,201.662,96.47
2024-09-23T02:42:49Z,248.976,67.94
2042-02-22T09:32:33Z,29.353,6.42
2019-04-10T12:37:34Z,61.301,25.99
2008-06-26T01:45:19Z,264.567,54.73
2031-05-12T02:17:17Z,247.552,69.09
2000-11-29T02:34:42Z,35.129,9.11
2024-09-24T18:13:42Z,269.692,50.27
2014-11-26T13:04:58Z,52.077,19.27
2001-08-20T21:00:51Z,25.033,4.7
2035-12-10T10:07:07Z,118.147,73.59
2002-02-17T16:15:21Z,58.327,23.75
2014-08-09T12:09:37Z,162.077,97.57
2050-11-08T09:23:01Z,291.665,31.54
2045-08-11T09:04:29Z,340.728,2.8
2002-09-09T12:54:35Z,34.079,8.59
2042-11-21T21:43:41Z,106.634,64.31
2011-12-12T08:26:02Z,200.033,96.97
2015-11-23T08:39:05Z,144.492,90.7
2006-12-19T20:25:57Z,351.097,0.6
2049-03-20T20:11:33Z,196.126,98.03
2007-01-15T11:09:29Z,314.034,15.25
2025-03-23T15:25:25Z,283.639,38.21
2007-12-16T12:31:47Z,78.663,40.17
2028-11-08T20:08:29Z,256.602,61.59
2034-06-26T14:49:49Z,122.99,77.22
2010-05-06T16:43:18Z,275.645,45.08
2035-01-23T04:05:09Z,170.807,99.36
2041-12-17T15:10:39Z,292.475,30.89
2047-02-11T15:52:12Z,194.175,98.48
2005-12-17T08:13:29Z,199.182,97.22
2007-08-05T14:30:31Z,266.235,53.28
2019-03-23T15:23:07Z,215.095,90.91
2006-10-26T03:43:16Z,44.58,14.39
2027-03-24T20:30:37Z,210.592,93.04
2048-03-03T12:34:28Z,218.078,89.36
2039-02-20T13:07:25Z,327.543,7.81
2044-11-11T07:38:06Z,258.309,60.13
2026-02-24T05:50:50Z,86.365,46.83
2014-05-04T06:41:10Z,58.674,24.0
2041-01-27T17:39:53Z,298.11,26.44
2042-05-21T05:17:12Z,23.563,4.17
2049-05-20T04:23:25Z,217.055,89.9
2017-12-02T14:10:31Z,164.903,98.27
2048-01-10T01:56:41Z,286.956,35.42
2024-04-13T09:29:54Z,61.504,26.15
2015-02-02T08:54:27Z,162.379,97.65
2031-10-12T06:45:22Z,312.084,16.49
2001-12-13T03:41:10Z,338.915,3.35
2005-09-26T04:37:53Z,280.185,41.16
2013-10-09T11:34:51Z,57.299,22.99
2008-10-20T17:39:57Z,260.123,58.58
2048-08-13T14:44:51Z,46.514,15.59
2010-05-17T07:28:25Z,41.664,12.65
2026-08-10T09:01:54Z,327.74,7.72
2036-01-30T11:11:12Z,22.243,3.72
2001-02-04T03:37:23Z,122.411,76.8
2049-12-15T07:04:11Z,246.203,70.18
2046-12-08T03:47:28Z,120.724,75.55
2009-09-02T17:01:11Z,158.12,96.4
2001-07-24T14:11:52Z,52.841,19.8
2019-09-24T08:14:28Z,298.366,26.25
2015-04-28T02:47:59Z,113.31,69.79
2021-10-22T13:22:19Z,201.438,96.54
2022-03-31T17:43:57Z,353.567,0.31
2025-08-12T04:26:14Z,216.681,90.1
2002-02-24T00:53:10Z,133.566,84.46
2032-09-17T21:51:48Z,158.899,96.65
2006-04-11T09:55:30Z,154.723,95.21
2009-11-16T12:40:07Z,356.735,0.08
2016-12-23T23:57:48Z,302.054,23.46
2040-09-06T10:18:32Z,357.672,0.04
2022-07-31T13:21:55Z,31.499,7.37
2032-02-27T19:52:28Z,196.684,97.9
2035-10-29T21:06:13Z,345.243,1.65
2048-01-21T08:30:09Z,72.648,35.09
2037-05-04T18:40:05Z,242.759,72.89
2013-02-01T21:53:03Z,248.757,68.12
2042-04-04T06:02:18Z,165.459,98.4
2038-03-26T06:33:20Z,251.695,65.7
2045-05-05T18:11:10Z,233.242,79.92
2023-06-29T02:08:04Z,122.181,76.63
2037-12-10T11:16:30Z,43.441,13.7
2013-06-24T13:54:03Z,195.726,98.13
2045-03-22T17:50:42Z,48.054,16.58
2006-12-27T02:01:01Z,83.049,43.95
2013-10-28T18:35:27Z,289.807,33.06
2006-10-09T23:15:18Z,219.388,88.64
2023-01-10T00:41:43Z,213.292,91.79
2044-07-21T09:50:08Z,313.381,15.66
2017-01-27T20:30:47Z,358.226,0.02
2031-04-01T23:47:25Z,111.556,68.37
2046-02-01T17:03:12Z,312.532,16.2
2012-03-31T07:28:13Z,95.645,54.92
2043-04-26T19:50:49Z,207.371,94.4
2008-10-11T03:32:16Z,132.898,84.03
2014-12-02T22:35:09Z,135.522,85.68
2030-05-28T12:40:17Z,319.392,12.04
2043-08-20T01:54:17Z,173.208,99.65
2050-10-05T17:28:19Z,246.693,69.78
2046-07-31T10:29:00Z,333.406,5.29
2039-05-16T16:29:00Z,288.672,33.99
2049-05-14T11:12:27Z,141.091,88.91
2026-11-02T03:42:18Z,273.877,46.62
2050-04-29T11:03:39Z,95.903,55.14
2024-09-27T04:55:47Z,298.61,26.06
2011-10-25T16:23:15Z,343.609,2.03
2048-04-12T12:17:52Z,351.915,0.5
2013-12-10T00:58:32Z,95.112,54.46
2044-11-05T09:44:40Z,178.504,99.98
2023-10-10T06:21:43Z,310.512,17.52
2007-08-04T01:18:25Z,245.642,70.62
2041-04-29T22:03:03Z,352.593,0.42
2050-02-08T09:06:24Z,196.443,97.96
