utc,phase_angle_deg,illumination_pct
2033-10-09T07:16:39Z,192.047,98.9
2044-10-19T15:44:00Z,343.731,2.0
2014-04-28T08:57:44Z,348.94,0.93
2026-12-13T05:02:28Z,45.18,14.76
2043-07-30T17:50:21Z,288.476,34.15
2011-07-13T06:48:04Z,155.242,95.4
2032-10-20T20:54:47Z,207.658,94.29
2015-01-09T01:59:04Z,223.026,86.55
2013-09-14T13:09:37Z,114.341,70.61
2027-04-18T04:42:59Z,145.346,91.13
2045-05-25T13:18:25Z,116.192,72.07
2044-07-20T15:52:31Z,303.143,22.66
2048-12-25T07:13:54Z,234.72,78.88
2021-02-20T01:52:57Z,93.208,52.8
2030-04-04T10:52:19Z,17.095,2.21
2016-10-10T11:49:50Z,105.226,63.13
2018-07-06T03:41:34Z,267.952,51.79
2018-05-31T06:09:59Z,198.601,97.39
2029-05-20T10:37:47Z,80.643,41.87
2041-12-23T22:24:21Z,7.681,0.45
2003-10-20T18:28:23Z,296.604,27.61
2034-06-09T11:37:15Z,265.734,53.72
2032-01-07T10:16:45Z,287.822,34.7
2024-09-15T23:28:56Z,150.131,93.36
2049-04-22T07:25:35Z,235.902,78.03
2009-03-30T17:26:07Z,52.114,19.3
2005-08-13T15:32:33Z,96.641,55.78
2016-01-26T22:18:04Z,213.142,91.87
2005-03-27T01:28:55Z,194.198,98.47
2050-07-07T20:10:59Z,222.108,87.09
2038-12-30T12:34:15Z,57.829,23.38
2030-02-24T17:14:41Z,265.253,54.14
2029-05-05T19:13:01Z,274.487,46.09
2013-02-27T23:39:34Z,206.47,94.76
2048-08-19T09:58:57Z,121.723,76.29
2033-05-28T15:46:42Z,2.297,0.04
2033-11-28T23:14:08Z,81.541,42.65
2014-04-02T07:54:25Z,32.375,7.77
2049-03-31T11:23:29Z,334.038,5.05
2028-04-27T09:17:46Z,30.567,6.95
2013-07-29T20:15:21Z,271.204,48.95
2027-12-22T20:31:22Z,301.201,24.1
2017-12-28T10:23:39Z,115.45,71.49
2029-12-05T21:33:48Z,3.877,0.11
2029-11-12T02:49:18Z,79.189,40.62
2006-12-19T14:36:15Z,348.179,1.06
2036-11-25T22:01:41Z,89.801,49.83
2010-12-13T01:09:41Z,84.206,44.95
2050-08-27T23:47:07Z,119.166,74.37
2000-07-15T11:28:16Z,168.047,98.92
2006-05-16T01:32:28Z,214.122,91.39
2033-11-26T14:10:53Z,52.325,19.44
2011-06-05T16:54:59Z,46.348,15.49
2021-11-04T04:58:58Z,350.552,0.68
2005-09-09T22:19:39Z,70.631,33.42
2027-09-11T09:54:50Z,130.11,82.21
2031-06-17T18:06:31Z,336.081,4.29
2021-01-20T03:57:49Z,82.278,43.28
2046-03-26T09:32:53Z,234.832,78.8
2025-10-14T14:22:48Z,280.506,40.88
2025-02-24T00:19:30Z,307.959,19.24
2008-11-14T06:48:13Z,194.434,98.42
2018-07-01T08:44:49Z,214.341,91.28
2023-12-10T01:15:26Z,323.767,9.67
2044-04-28T23:07:18Z,15.758,1.88
2019-01-21T23:37:21Z,190.841,99.11
2011-12-01T20:11:45Z,83.543,44.38
2017-12-21T23:16:55Z,39.991,11.69
2046-05-22T19:46:10Z,214.203,91.35
2023-08-12T18:18:38Z,320.051,11.67
2005-11-19T01:43:52Z,216.338,90.28
2022-01-05T03:43:28Z,33.004,8.07
2021-12-28T14:41:14Z,289.087,33.65
2007-05-18T11:03:04Z,22.887,3.94
2032-02-17T19:37:10Z,86.184,46.67
2030-08-17T19:31:02Z,233.896,79.46
2030-01-26T22:44:01Z,272.454,47.86
2043-12-13T12:31:40Z,140.111,88.36
2046-07-23T13:34:52Z,241.741,73.67
2028-12-25T04:45:41Z,104.054,62.14
2019-02-18T07:57:32Z,161.063,97.29
2050-03-05T18:57:34Z,148.92,92.82
2034-07-17T22:53:13Z,28.285,5.97
2032-06-03T06:17:38Z,301.065,24.2
2031-07-10T09:54:53Z,256.777,61.44
2038-01-27T13:39:08Z,265.439,53.98
2032-03-16T10:16:33Z,61.761,26.34
2032-09-23T19:08:41Z,239.08,75.69
2033-12-19T13:50:44Z,334.618,4.83
2007-09-24T00:57:09Z,142.375,89.6
2016-06-25T02:01:07Z,235.775,78.12
2011-12-16T20:41:06Z,254.96,62.97
2031-10-24T18:41:09Z,109.28,66.51
2024-09-07T10:57:28Z,47.469,16.2
2026-03-31T15:37:02Z,163.062,97.83
2008-03-25T07:06:36Z,219.554,88.55
2013-04-24T22:45:57Z,168.108,98.93
2045-10-04T19:04:04Z,283.269,38.52
2043-01-19T02:50:17Z,99.678,58.41
2026-06-01T01:57:42Z,187.833,99.53
2031-04-24T02:02:10Z,27.321,5.58
2003-11-02T05:21:50Z,102.769,61.05
2015-09-24T07:02:09Z,126.831,79.97
2006-09-20T04:20:55Z,335.015,4.68
2043-08-12T11:34:31Z,86.647,47.08
2009-05-10T17:05:59Z,197.667,97.64
2041-07-01T18:10:05Z,37.004,10.07
2025-03-04T01:09:03Z,55.142,21.42
2013-08-29T07:53:38Z,280.202,41.14
2025-05-17T12:19:31Z,234.079,79.33
2049-06-20T18:27:28Z,248.846,68.04
2047-02-07T04:22:56Z,136.281,86.14
2001-09-30T14:55:50Z,158.388,96.48
2046-07-03T22:19:39Z,358.211,0.02
2025-03-06T02:34:26Z,82.495,43.47
2018-01-27T22:32:54Z,129.481,81.79
2012-03-05T21:17:44Z,146.696,91.79
2016-10-13T05:27:05Z,139.428,87.98
2034-11-15T22:21:19Z,53.149,20.01
2030-01-31T10:50:02Z,331.542,6.04
2021-01-15T15:30:24Z,30.589,6.96
2009-05-03T15:51:17Z,113.065,69.59
2048-11-25T00:20:11Z,229.279,82.62
2034-03-30T21:12:52Z,136.138,86.05
2037-06-08T09:43:44Z,296.96,27.33
2023-06-14T16:30:19Z,318.695,12.44
2035-03-02T03:13:36Z,270.095,49.92
2047-09-09T13:48:56Z,238.407,76.19
2028-01-19T22:13:44Z,283.791,38.08
2037-07-23T16:51:02Z,139.391,87.96
2014-11-05T15:05:57Z,163.095,97.84
2012-06-10T09:16:59Z,257.622,60.72
2008-03-04T01:51:13Z,314.771,14.79
2046-01-18T22:09:55Z,131.809,83.33
2004-03-27T20:14:05Z,77.494,39.17
2033-07-25T18:41:09Z,353.294,0.34
2031-09-17T03:55:20Z,4.46,0.15
2042-03-27T05:37:54Z,74.581,36.71
2042-07-29T08:02:10Z,136.907,86.51
2016-08-07T21:48:15Z,58.77,24.08
2008-11-04T23:18:11Z,76.724,38.52
2025-03-05T12:26:26Z,74.791,36.88
2007-02-03T17:34:05Z,197.033,97.81
2048-07-03T23:11:30Z,281.106,40.37
2022-05-05T10:18:00Z,50.612,18.27
2014-08-09T00:20:54Z,155.088,95.35
2005-04-08T00:00:45Z,349.045,0.91
2048-11-22T16:04:08Z,203.999,95.68
2012-04-16T17:02:46Z,308.859,18.63
2019-12-12T05:10:07Z,179.982,100.0
2037-06-07T04:46:04Z,283.622,38.22
2024-01-25T02:22:44Z,172.734,99.6
2009-02-13T04:13:29Z,226.528,84.4
2004-10-15T15:06:19Z,19.673,2.92
2010-12-15T03:57:19Z,107.256,64.83
2002-11-05T11:07:34Z,8.515,0.55
2002-02-22T20:29:41Z,118.344,73.74
2032-01-15T08:26:23Z,35.731,9.41
2023-03-04T16:41:51Z,148.748,92.74
2010-12-23T18:39:58Z,211.623,92.58
2034-10-01T07:19:37Z,223.813,86.08
2031-12-28T10:24:51Z,176.723,99.92
2007-08-27T06:00:45Z,164.331,98.14
2033-12-20T01:51:13Z,340.275,2.93
2033-09-28T03:36:41Z,49.669,17.64
2045-02-11T10:27:21Z,299.711,25.22
2013-07-30T20:33:54Z,282.6,39.09
2020-01-09T13:51:40Z,164.173,98.1
2041-08-19T18:27:23Z,282.428,39.24
2031-05-04T08:41:26Z,143.498,90.19
2001-04-10T12:10:30Z,210.651,93.01
2027-03-07T21:10:56Z,354.11,0.26
2039-08-13T11:14:09Z,287.984,34.56
2048-09-14T02:34:27Z,74.966,37.03
2038-10-28T15:27:50Z,6.907,0.36
2025-03-28T14:08:06Z,347.829,1.12
2021-02-24T04:06:13Z,139.705,88.14
2033-10-03T13:47:42Z,113.233,69.72
2011-06-27T16:55:42Z,316.548,13.7
2017-08-30T17:03:05Z,104.939,62.89
2024-06-18T22:12:03Z,142.171,89.49
2049-07-07T17:42:05Z,83.403,44.26
2035-08-10T03:15:22Z,81.197,42.35
2026-11-19T20:48:01Z,117.495,73.08
2019-04-16T10:03:09Z,138.355,87.36
2027-04-29T19:32:48Z,280.563,40.83
2043-06-07T20:28:54Z,5.83,0.26
2011-01-30T19:34:36Z,322.372,10.4
2016-11-11T18:46:56Z,140.503,88.58
2000-03-20T13:11:00Z,184.411,99.85
2034-04-24T01:52:45Z,72.49,34.96
2009-01-12T17:29:27Z,202.146,96.31
2019-07-08T18:10:37Z,80.847,42.05
2037-09-03T16:01:28Z,278.891,42.27
2046-08-22T07:42:48Z,242.473,73.11
2034-12-06T23:01:54Z,317.863,12.92
2019-03-04T11:25:38Z,336.201,4.25
2021-04-01T03:02:16Z,226.594,84.36
2001-12-13T04:04:00Z,339.114,3.29
2008-10-15T04:08:49Z,184.563,99.84
2002-02-01T08:14:47Z,227.41,83.84
2019-12-31T06:52:32Z,58.332,23.75
2046-09-27T08:04:43Z,321.005,11.14
2019-02-28T15:18:31Z,294.557,29.22
2034-12-22T06:08:09Z,136.006,85.97
2006-12-10T23:01:19Z,252.011,65.44
2030-04-15T00:41:16Z,137.476,86.85
2049-07-20T20:46:52Z,258.733,59.77
2014-07-29T05:57:44Z,25.094,4.72
2040-03-15T01:20:39Z,25.131,4.73
2041-10-25T16:48:20Z,7.238,0.4
2014-07-15T21:44:54Z,228.446,83.17
2018-06-08T07:43:39Z,288.002,34.55
2008-07-12T16:36:29Z,117.815,73.33
2022-02-06T11:36:04Z,66.478,30.05
2004-07-27T04:46:49Z,116.688,72.46
2040-02-25T16:46:40Z,153.192,94.63
2007-05-03T16:01:00Z,193.736,98.57
2021-01-08T09:41:30Z,296.408,27.76
2034-11-16T01:24:52Z,54.559,21.01
2037-11-02T11:06:58Z,290.473,32.51
2002-08-31T07:44:40Z,272.478,47.84
2044-03-09T19:19:52Z,128.534,81.15
2032-01-23T05:45:03Z,133.012,84.11
2006-02-20T06:58:43Z,258.037,60.36
2023-04-06T03:48:22Z,179.624,100.0
2003-10-31T09:01:13Z,79.808,41.15
2014-12-16T05:44:08Z,288.723,33.95
2013-04-12T07:53:09Z,22.122,3.68
2024-05-11T09:15:05Z,42.198,12.96
2023-09-13T08:50:57Z,341.43,2.6
2003-12-01T09:23:56Z,97.929,56.9
2021-02-11T07:58:18Z,354.332,0.24
2010-08-30T07:27:56Z,241.797,73.63
2011-10-27T18:24:17Z,13.304,1.34
2003-04-26T01:08:16Z,299.829,25.13
2036-01-19T08:07:51Z,258.684,59.81
2000-07-06T00:11:25Z,58.161,23.62
2013-02-11T07:34:35Z,13.259,1.33
2005-06-21T09:41:06Z,169.228,99.12
2047-09-13T03:05:46Z,277.32,43.63
2034-12-03T12:10:15Z,279.43,41.81
