utc,true_lat,true_lon,num_sights,sights
2050-07-01T06:15:21Z,-55.9,-67.2,6,Altair:24.7673:351.4951|Kaus Aus.:60.5901:304.7845|Miaplacidus:36.1433:185.1894|Hadar:44.5153:223.3269|Fomalhaut:51.7896:62.4257|Enif:21.807:21.8396
2002-03-01T12:28:44Z,43.77,11.25,6,Alpheratz:74.887:164.5997|Polaris:44.3166:0.6586|Saturn:28.4793:88.6496|Aldebaran:24.6468:90.3718|Kochab:31.7491:346.8405|Vega:33.1755:294.2044
2027-09-16T22:58:24Z,64.15,-21.95,6,Kochab:58.5887:328.3412|Capella:29.3401:42.8505|Deneb:70.7461:196.617|Rasalhague:26.3636:242.1581|Altair:32.9531:204.0776|Vega:55.9643:240.825
2037-08-14T05:58:41Z,0.0,0.0,6,Mars:73.4279:332.0917|Aldebaran:66.5365:44.22|Hamal:59.1963:321.5291|Sirius:38.8968:111.7587|Ankaa:31.2502:218.3531|Markab:23.0737:286.7857
2023-04-20T15:41:33Z,64.15,-21.95,6,Mirfak:74.7503:206.2625|Alioth:35.5358:30.9262|Rigel:16.5418:162.4259|Polaris:64.7583:359.5604|Venus:49.6305:169.8905|Alnilam:22.5973:155.5873
2038-01-09T13:46:36Z,35.0,-40.0,6,Markab:24.3307:87.7426|Sabik:36.5186:201.3714|Dubhe:22.0244:330.986|Altair:56.9342:136.6047|Kochab:43.3636:342.3237|Alkaid:39.0005:308.367
2024-05-30T17:52:13Z,35.0,-40.0,6,Polaris:35.1991:359.2621|Regulus:50.2999:116.8074|Schedar:20.6541:325.6947|Adhara:25.0167:191.4757|Aldebaran:43.9713:258.9237|Hamal:17.4181:286.9813
2039-10-25T23:43:25Z,-33.87,151.21,6,Zubenelg.:48.4374:75.4953|Atria:37.7736:154.5889|Venus:48.3552:338.9267|Alphard:46.3886:295.8849|Menkent:64.6685:105.0011|Sirius:17.7492:261.3726
2046-11-15T22:08:03Z,64.15,-21.95,6,Polaris:64.4954:0.9985|Deneb:55.0007:264.3782|Kochab:50.2856:344.7665|Alkaid:24.5452:344.2648|Aldebaran:25.9357:105.9715|Capella:46.6342:77.3461
2005-10-15T12:53:41Z,1.35,103.82,6,Rasalhague:31.8744:283.9707|Altair:65.3081:288.5744|Schedar:22.4755:26.6618|Moon:53.6383:97.1969|Diphda:37.5426:114.0153|Shaula:24.1708:227.7701
