utc,body,dist_deg
2047-05-12T17:23:53Z,Sun,139.04024
2049-09-20T04:39:50Z,Sun,76.45915
2037-03-15T14:31:16Z,Regulus,169.71674
2040-02-20T01:16:51Z,Sun,91.70275
2049-06-22T07:59:11Z,Venus,47.74142
2038-01-23T04:45:08Z,Jupiter,36.62266
2009-09-30T04:09:12Z,Mars,150.82833
2016-05-31T06:03:53Z,Aldebaran,67.08267
2021-04-15T01:43:33Z,Spica,146.36632
2039-11-05T21:51:52Z,Jupiter,76.99698
2015-11-20T07:00:11Z,Jupiter,170.77571
2023-07-31T06:11:50Z,Antares,36.07351
2016-05-01T12:44:52Z,Sun,72.61836
2005-07-06T02:37:59Z,Jupiter,90.38418
2025-03-22T02:34:11Z,Aldebaran,159.63479
2014-05-21T21:44:24Z,Sun,85.2225
2014-05-13T09:29:14Z,Mars,25.35274
2007-02-19T17:04:08Z,Aldebaran,71.35572
2003-02-27T17:41:21Z,Aldebaran,129.902
2042-11-29T00:47:17Z,Venus,113.34902
2018-09-11T18:30:39Z,Regulus,46.29838
2040-06-15T08:01:49Z,Sun,61.12584
2026-05-16T23:40:26Z,Mars,30.26336
2037-01-16T23:56:38Z,Jupiter,133.29486
2016-02-08T20:24:04Z,Jupiter,150.76238
2018-08-29T09:00:56Z,Regulus,141.36287
2020-10-18T09:18:07Z,Jupiter,61.52761
2043-01-25T10:17:29Z,Regulus,23.68852
2019-06-01T21:13:42Z,Sun,19.64643
2037-09-04T13:17:51Z,Jupiter,20.43161
2018-03-13T03:55:31Z,Antares,52.81452
2046-11-26T21:58:53Z,Regulus,80.82364
2014-02-07T04:15:34Z,Antares,161.47487
2005-09-20T11:46:22Z,Aldebaran,40.43263
2029-03-01T23:19:08Z,Aldebaran,108.59307
2005-06-23T04:46:03Z,Spica,82.19106
2036-12-11T05:32:24Z,Spica,24.42932
2042-04-02T15:54:41Z,Mars,31.78628
2043-08-13T20:15:41Z,Jupiter,21.84567
2020-10-12T03:36:33Z,Spica,69.10499
2004-03-29T03:17:58Z,Venus,45.59203
2048-07-20T22:52:50Z,Jupiter,157.19038
2006-05-21T14:37:56Z,Antares,96.51924
2005-07-20T13:23:16Z,Antares,35.06221
2032-07-06T04:31:31Z,Mars,18.34136
2050-02-27T14:57:52Z,Venus,65.58927
2006-01-31T21:34:47Z,Regulus,165.37911
2048-07-20T21:18:18Z,Venus,103.33859
2020-02-07T23:03:23Z,Sun,161.45338
2022-08-29T13:37:33Z,Sun,26.07641
2001-11-03T03:05:39Z,Jupiter,42.53693
2016-09-07T03:22:50Z,Antares,22.85461
2013-07-17T22:03:32Z,Regulus,78.20069
2045-07-23T02:37:54Z,Regulus,84.93043
2024-02-14T06:36:29Z,Antares,134.81665
2033-08-30T18:01:48Z,Venus,94.85152
2003-11-19T20:27:33Z,Antares,69.82772
2044-12-29T15:19:13Z,Venus,133.66324
2033-01-14T19:19:26Z,Jupiter,155.9314
2041-07-24T17:48:42Z,Spica,119.64605
2007-04-19T17:22:57Z,Regulus,88.94792
2009-10-29T16:40:16Z,Regulus,162.64148
2010-06-16T01:21:51Z,Jupiter,131.59448
2007-11-08T10:23:52Z,Sun,17.05241
2000-11-28T02:24:05Z,Antares,21.3008
2022-01-01T03:55:02Z,Aldebaran,169.52025
2014-07-14T05:30:23Z,Aldebaran,113.55105
2021-05-29T20:31:23Z,Aldebaran,133.65606
2034-12-03T18:09:04Z,Regulus,23.6178
2032-07-22T03:00:45Z,Mars,171.59313
2008-01-26T18:36:07Z,Aldebaran,107.64258
2026-11-10T00:37:56Z,Regulus,85.79024
2002-07-19T06:12:41Z,Jupiter,116.19729
2037-05-21T19:30:01Z,Regulus,6.8949
2046-04-26T16:57:21Z,Jupiter,72.80651
2020-02-25T07:48:24Z,Sun,19.02284
2007-04-03T14:26:34Z,Spica,1.43262
2021-12-27T20:40:14Z,Regulus,45.75553
2032-12-26T23:25:14Z,Antares,41.41603
2040-05-23T12:36:43Z,Sun,140.37752
2038-08-14T04:51:09Z,Regulus,161.94406
2018-02-06T11:29:48Z,Mars,32.95376
2039-08-07T05:25:11Z,Venus,143.82947
2047-09-03T19:47:18Z,Sun,172.48408
2006-12-27T20:40:10Z,Sun,93.19604
2037-06-15T01:04:07Z,Regulus,49.07789
2008-12-28T22:52:33Z,Jupiter,5.18492
2029-05-29T11:57:04Z,Jupiter,73.68732
2020-03-16T12:01:49Z,Jupiter,24.60542
2025-10-15T14:54:07Z,Spica,68.8908
2046-07-06T13:25:58Z,Antares,112.67089
2017-02-04T14:21:55Z,Jupiter,151.46669
2049-10-28T21:03:57Z,Regulus,92.84462
2016-05-17T04:40:11Z,Mars,58.13103
2045-02-07T20:11:47Z,Sun,101.17717
2028-06-01T14:38:16Z,Spica,25.60163
2050-06-28T05:09:04Z,Mars,128.48142
2021-04-27T16:44:58Z,Aldebaran,155.26091
2006-07-01T20:41:50Z,Mars,32.89387
2032-09-12T18:06:23Z,Antares,13.06254
2014-08-21T22:20:30Z,Regulus,41.50707
2020-06-18T05:43:15Z,Sun,35.39485
2050-03-12T19:40:49Z,Sun,133.16637
2037-02-25T14:29:14Z,Jupiter,19.8885
2044-05-21T08:10:29Z,Spica,140.04445
2031-01-10T11:42:38Z,Venus,173.81705
2039-04-18T11:04:57Z,Venus,97.90184
2020-10-23T19:23:14Z,Jupiter,14.17872
2026-10-28T13:23:27Z,Aldebaran,10.7398
2013-04-19T22:06:19Z,Spica,68.16643
2050-04-10T06:59:21Z,Jupiter,119.90195
2011-07-20T18:02:22Z,Antares,111.15536
2019-04-12T23:35:17Z,Spica,88.92971
2028-12-21T16:32:48Z,Sun,65.90155
2009-11-04T04:33:01Z,Jupiter,101.88288
2009-11-09T21:59:11Z,Jupiter,175.81423
2021-03-20T07:47:06Z,Antares,172.80937
2014-09-02T05:29:26Z,Regulus,96.66549
2016-01-12T06:33:33Z,Mars,105.0113
2037-07-10T02:10:20Z,Jupiter,31.33133
2032-07-16T14:39:33Z,Venus,87.54133
2027-12-17T20:31:16Z,Venus,155.03757
2018-06-18T01:29:41Z,Spica,58.49347
2032-02-05T12:17:13Z,Spica,33.5716
2000-08-25T00:36:15Z,Spica,112.16906
2025-03-24T05:05:49Z,Mars,176.43067
2040-04-02T06:13:10Z,Aldebaran,173.48626
2042-05-22T09:46:41Z,Antares,150.21608
2003-08-01T04:49:56Z,Mars,174.8889
2029-04-12T19:11:07Z,Venus,18.09113
2013-08-16T09:58:17Z,Sun,115.71012
2008-08-17T18:08:54Z,Mars,156.58246
2016-06-22T11:31:12Z,Sun,155.84327
2025-02-05T21:03:19Z,Antares,164.30955
2028-08-02T03:32:03Z,Venus,169.25855
2004-02-11T03:25:23Z,Mars,165.33296
2038-09-15T17:59:22Z,Venus,146.30509
2029-07-05T07:32:42Z,Spica,173.03357
2041-09-06T05:53:27Z,Regulus,135.46605
2022-06-17T00:44:32Z,Jupiter,64.12402
2031-06-02T18:47:59Z,Spica,10.63081
2011-04-03T21:28:45Z,Regulus,132.82735
2019-07-27T02:42:13Z,Jupiter,162.71157
2049-04-23T07:17:13Z,Sun,110.86597
2025-09-17T11:26:24Z,Sun,51.54005
2044-11-22T09:05:17Z,Regulus,121.05992
2009-09-28T11:47:24Z,Venus,140.6153
2040-02-11T00:17:52Z,Aldebaran,129.64829
2002-04-24T05:21:08Z,Sun,139.01251
2015-09-07T00:57:11Z,Antares,154.1374
2001-08-02T18:08:37Z,Sun,163.56651
2018-05-21T11:50:14Z,Spica,62.44194
2034-01-07T07:01:02Z,Regulus,13.13203
2019-12-04T01:19:33Z,Venus,59.0393
2047-12-27T17:58:23Z,Venus,165.75081
2038-03-30T15:44:11Z,Jupiter,155.65641
2047-06-23T17:00:49Z,Aldebaran,25.61333
2006-08-11T14:00:50Z,Antares,98.69745
2037-01-01T22:42:39Z,Sun,176.66516
2033-06-27T05:15:02Z,Mars,169.98987
2010-09-05T08:42:48Z,Antares,130.19462
2011-02-17T10:48:09Z,Aldebaran,65.5229
2024-09-07T01:22:25Z,Venus,17.86977
2031-03-08T01:38:21Z,Aldebaran,83.25741
2007-08-16T16:58:37Z,Jupiter,63.61848
2024-07-21T16:07:43Z,Antares,52.34607
2044-11-18T10:40:22Z,Regulus,72.74926
2025-01-05T17:53:13Z,Aldebaran,70.88374
2003-07-05T00:11:48Z,Aldebaran,96.25357
2025-07-15T18:52:29Z,Mars,171.92266
2029-06-30T17:11:25Z,Regulus,172.8605
2011-07-12T20:15:08Z,Regulus,109.82892
2038-03-27T19:56:02Z,Sun,88.81378
2016-06-17T23:51:05Z,Regulus,89.04465
2026-08-23T16:55:10Z,Sun,129.18304
2033-02-13T18:40:18Z,Sun,172.72484
2029-02-24T12:25:36Z,Antares,149.6851
2011-11-13T07:04:18Z,Regulus,72.40249
2012-11-11T12:42:34Z,Antares,53.60676
2020-07-07T10:18:06Z,Aldebaran,116.36205
2050-11-27T13:33:27Z,Venus,151.60084
2000-03-20T06:03:57Z,Spica,24.06051
2015-03-19T23:12:43Z,Venus,40.19253
2041-05-19T22:52:57Z,Mars,95.00614
2038-06-09T10:28:32Z,Sun,76.76309
2047-09-04T05:49:49Z,Jupiter,75.49193
2035-02-12T11:08:32Z,Spica,168.45745
2009-12-13T21:29:02Z,Venus,23.43204
2017-07-28T10:30:40Z,Sun,64.71397
2015-12-11T20:48:37Z,Sun,7.14683
2018-05-24T19:37:44Z,Aldebaran,117.29742
2047-08-15T03:19:45Z,Mars,59.29703
2032-12-13T12:39:26Z,Mars,167.09711
2015-09-21T12:51:23Z,Antares,22.45236
2029-06-25T04:22:52Z,Jupiter,63.69371
2039-07-07T20:31:09Z,Antares,59.46415
2008-05-10T08:00:24Z,Aldebaran,47.66942
2040-08-30T06:40:25Z,Aldebaran,9.35744
2047-06-15T18:11:20Z,Antares,109.29463
2043-12-10T12:42:10Z,Regulus,151.2605
2021-01-15T12:45:17Z,Regulus,173.18543
2029-04-24T15:47:05Z,Aldebaran,90.7841
2021-05-07T01:38:29Z,Venus,62.84626
2015-08-20T09:38:34Z,Antares,40.45659
2024-06-07T18:45:28Z,Mars,64.67921
2041-08-05T03:51:40Z,Antares,28.02042
2050-10-20T01:33:17Z,Antares,8.52289
2036-05-22T20:25:13Z,Sun,38.41678
2044-01-11T10:45:09Z,Aldebaran,12.04011
2026-02-23T11:11:40Z,Mars,86.69468
2049-06-13T02:49:04Z,Aldebaran,154.30383
2000-09-26T20:51:08Z,Aldebaran,101.95639
2002-09-29T11:47:48Z,Mars,76.04042
2002-02-21T23:12:58Z,Sun,107.38286
2028-08-20T21:17:59Z,Aldebaran,84.12929
2028-08-27T15:40:56Z,Jupiter,71.48998
2044-05-02T05:46:33Z,Mars,58.62607
2019-08-01T23:58:03Z,Aldebaran,71.95533
2013-12-22T22:59:21Z,Spica,52.16281
2042-01-23T02:22:37Z,Spica,115.43195
2028-04-15T13:15:00Z,Jupiter,114.59739
2043-09-19T15:52:57Z,Spica,159.88261
2036-01-29T10:34:38Z,Regulus,169.70572
2019-05-05T00:30:52Z,Spica,157.97891
2032-09-27T16:53:41Z,Antares,139.02236
2003-06-06T19:18:57Z,Spica,51.86364
2041-06-24T07:49:25Z,Antares,153.04146
2050-09-08T02:41:22Z,Venus,129.95121
2046-12-08T06:01:51Z,Spica,172.86587
2048-07-24T05:36:25Z,Jupiter,154.93921
2007-11-18T07:36:47Z,Venus,139.88099
