utc,location,obs_lat,obs_lon,body,alt_deg,az_deg,sha_deg,dec_deg
2041-04-30T12:33:21Z,Singapore,1.35,103.82,Jupiter,36.42957,101.36491,156.1579,-8.30914
2046-12-11T09:37:18Z,North Pole,89.9,0.0,Canopus,-52.78319,308.23124,263.74066,-52.72124
2021-10-10T00:15:17Z,Sydney,-33.87,151.21,Kochab,-22.69238,12.93332,137.34817,74.07004
2015-09-13T04:11:51Z,Reykjavik,64.15,-21.95,Spica,-36.49123,13.89744,158.49811,-11.24004
2026-07-14T19:47:40Z,Cape Horn,-55.9,-67.2,Peacock,26.14287,159.18739,53.052,-56.64675
2029-12-12T06:05:43Z,Mid-Atlantic,35.0,-40.0,Shaula,-50.96694,107.83203,96.09103,-37.12243
2006-11-19T07:12:44Z,Singapore,1.35,103.82,Acamar,-33.32538,139.32456,315.36088,-40.27609
2046-07-10T04:10:39Z,Florence,43.77,11.25,Adhara,-28.50023,104.16395,254.88983,-29.0369
2029-10-27T08:02:13Z,Cape Horn,-55.9,-67.2,Aldebaran,15.61213,340.19065,290.58149,16.56795
2043-03-01T22:29:58Z,Cape Horn,-55.9,-67.2,Suhail,46.59726,103.22426,222.59827,-43.61006
2042-01-27T02:41:41Z,Sydney,-33.87,151.21,Denebola,-49.22847,251.23038,182.19676,14.33515
2035-03-26T14:41:15Z,Mid-Atlantic,35.0,-40.0,Schedar,67.83837,9.37861,349.37508,56.72776
2050-09-08T02:55:30Z,Singapore,1.35,103.82,Mars,-69.05172,196.34317,38.73091,-21.40875
2008-03-22T15:22:17Z,Mid-Atlantic,35.0,-40.0,Zubenelg.,-55.89718,295.53407,137.15975,-16.0793
2022-05-26T10:09:40Z,Tokyo,35.6,139.7,Avior,-13.8456,203.66842,234.2661,-59.5841
2017-06-16T16:31:25Z,Singapore,1.35,103.82,Rasalhague,76.755,31.94141,96.05933,12.55074
2043-09-15T14:04:57Z,Florence,43.77,11.25,Polaris,43.2272,359.76973,305.89215,89.43206
2001-06-09T15:54:24Z,Southern Ocean,-55.0,-120.0,Shaula,18.27405,230.50352,96.5729,-37.10437
