utc,star,sha_deg,dec_deg
2029-11-24T05:04:29Z,Antares,112.19031,-26.49532
2036-09-12T02:34:24Z,Markab,13.34998,15.40442
2025-11-10T15:24:42Z,Schedar,349.49748,56.68305
2013-10-27T19:31:27Z,Arcturus,145.93137,19.11241
2029-10-12T01:00:12Z,Rigil Kent,139.59186,-60.95854
2039-11-05T15:51:58Z,Pollux,243.06577,27.92661
2005-11-03T23:10:59Z,Pollux,243.58036,28.013
2024-12-26T04:24:41Z,Capella,280.35863,46.02387
2011-05-25T04:39:15Z,Miaplacidus,221.67279,-69.77089
2005-10-04T13:54:46Z,Elnath,278.33542,28.61352
2002-02-13T02:37:14Z,Antares,112.62246,-26.43553
2006-08-14T14:55:13Z,Sabik,102.30704,-15.73484
2005-02-11T22:52:15Z,Markab,13.75391,15.23026
2009-11-20T21:41:59Z,Procyon,245.03701,5.19993
2015-10-09T01:49:06Z,Menkar,314.21885,4.15119
2048-11-03T17:48:31Z,Shaula,95.76836,-37.13425
2036-06-28T12:44:56Z,Arcturus,145.66897,18.99762
2033-04-28T18:30:20Z,Alpheratz,357.4727,29.27111
2044-05-29T06:22:17Z,Arcturus,145.57199,18.95144
2009-01-16T23:12:25Z,Mirfak,308.74872,49.89794
2033-09-05T08:48:03Z,Dubhe,193.57046,61.56888
2038-12-24T17:26:19Z,Spica,158.19305,-11.36034
2010-04-09T03:39:11Z,Hamal,328.06369,23.51157
2019-08-17T18:23:31Z,Acrux,173.08562,-63.20825
2019-12-19T20:39:36Z,Acamar,315.24343,-40.23058
2001-02-22T14:27:21Z,Adhara,255.33099,-28.97729
2032-06-19T15:03:32Z,Alpheratz,357.47808,29.26737
2024-10-20T01:30:50Z,Rigil Kent,139.68874,-60.93748
2012-06-18T11:13:07Z,Markab,13.64979,15.27266
2033-09-22T03:26:31Z,Ankaa,353.00775,-42.12071
2022-11-18T06:33:02Z,Achernar,335.35,-57.12386
2016-09-11T03:26:24Z,Alioth,166.32283,55.87378
2040-02-20T15:31:08Z,Shaula,95.92423,-37.12818
2038-10-28T08:30:06Z,Antares,112.06265,-26.5131
2016-02-26T23:55:04Z,Altair,62.11148,8.91117
2029-11-07T01:00:09Z,Denebola,182.35407,14.40382
2041-07-27T18:57:07Z,Alphecca,125.88742,26.58017
2011-12-24T23:10:28Z,Achernar,335.45408,-57.17971
2021-08-29T16:50:04Z,Achernar,335.36494,-57.12413
2008-02-09T11:00:01Z,Alnair,27.81761,-46.92372
2045-08-15T23:33:26Z,Kaus Aus.,83.19143,-34.36073
2019-02-25T14:44:00Z,Rigil Kent,139.76977,-60.90806
2039-04-14T08:58:21Z,Procyon,244.66479,5.12053
